state_fips,county_fips,total_emp,manufacturing_emp,prop_manuf_loss,prop_total_loss
13,257,8323,1867,0.13604713444027852,0.03051784212423405
13,259,795,1,0,0
13,261,9008,1465,0.21092150170648463,0.03430284191829485
13,263,547,1,0,0
13,265,60,1,0,0
13,267,2698,1,0,0
13,269,1097,1,0,0
13,271,3868,1,0,0
13,273,1601,1,0,0
13,275,15857,2746,0.08922068463219228,0.015450589644951756
13,277,15955,1,0,0
13,279,9358,1,0,0
13,281,2859,1,0,0
13,283,754,175,0.34285714285714286,0.07957559681697612
13,285,25649,6029,0.03997346160225576,0.009396077819798043
13,287,1491,1,0,0
13,289,750,1,0,0
13,291,4855,1,0,0
13,293,6216,1,0,0
13,295,10203,1,0,0
13,299,12012,1,0,0
13,301,645,175,1,0.35968992248062015
13,303,5547,496,0.2318548387096774,0.020731927167838473
13,305,5550,1,0,0
13,307,375,1,0,0
13,309,1025,1,0,0
13,311,4781,1,0,0
13,315,584,1,0,0
13,317,2681,1,0,0
13,319,2053,1,0,0
13,321,2415,1,0,0
15,001,51238,1,0,0
15,003,338594,10135,0.0265416872224963,7.944618038122353e-4
15,007,23802,1,0,0
15,009,59606,1070,1,0.023084924336476194
16,001,166239,16569,0.14780614400386263,0.014731801803427595
16,003,480,1,0,0
16,005,26890,2124,0.2344632768361582,0.018519895872071403
16,007,1003,1,0,0
16,009,2190,1,0,0
16,011,9940,1750,0.2057142857142857,0.03621730382293763
16,013,10949,1,0,0
16,015,499,1,0,0
16,017,11877,1,0,0
16,019,42413,2391,4.182350480970305e-4,2.3577676655742344e-5
16,021,2359,322,0.2857142857142857,0.03899957609156422
16,023,449,1,0,0
16,025,189,1,0,0
16,027,42564,7933,0.15492247573427456,0.02887416596184569
16,029,2683,1,0,0
16,031,6787,1,0,0
16,033,269,1,0,0
16,035,1824,175,0.2571428571428571,0.024671052631578948
16,037,931,1,0,0
16,039,3983,1,0,0
16,041,1997,1,0,0
16,043,1404,1,0,0
16,045,2110,1,0,0
16,047,2646,1,0,0
16,049,3020,1,0,0
16,051,3675,1,0,0
16,053,5768,1,0,0
16,055,44289,3926,0.054508405501782986,0.004831899568741674
16,057,8644,311,0.17363344051446947,0.006247107820453493
16,059,1635,1,0,0
16,061,748,174,0.6609195402298851,0.1537433155080214
16,063,650,1,0,0
16,065,14136,1,0,0
16,067,4119,694,0.06772334293948126,0.011410536537994658
16,071,614,1,0,0
16,073,1531,1,0,0
16,075,4280,1,0,0
16,077,2184,1,0,0
16,079,3846,1,0,0
16,081,2048,1,0,0
16,083,27170,2698,0.2390659747961453,0.02373941847626058
16,085,2792,1,0,0
16,087,1736,1,0,0
17,001,29460,4980,0.03313253012048193,0.00560081466395112
17,003,1241,1,0,0
17,005,3899,1,0,0
17,007,10900,4274,0.544220870379036,0.21339449541284403
17,009,1750,1,0,0
17,011,10100,1800,0.06,0.010693069306930694
17,013,593,1,0,0
17,015,3451,1,0,0
17,017,4664,1,0,0
17,019,68678,7221,0.02035729123390112,0.0021404234252599087
17,021,8490,1059,0.10387157695939565,0.012956419316843345
17,023,3281,1,0,0
17,025,4482,1712,0.05724299065420561,0.02186523873270861
17,027,8779,875,0.13257142857142856,0.013213350039867866
17,029,18111,3264,0.11948529411764706,0.021533874440947492
17,031,2245334,192628,0.03546732562244326,0.003042754440987399
17,033,6352,2023,0.09639149777558081,0.030698992443324937
17,035,1529,1,0,0
17,037,25810,4055,0.03033292231812577,0.004765594730724526
17,041,6227,2241,0.0022311468094600626,8.029548739360848e-4
17,043,574472,55014,0.03095575671647217,0.0029644612792268377
17,045,5635,1785,0.022408963585434174,0.00709849157054126
17,047,2153,1750,0.09314285714285714,0.07570831398049234
