state_cens,state,state2,empl,member,year
71,Arkansas,AR,907815.2049999994,88015.60666666672,1989
93,California,CA,11825950.254166663,2238878.3708333354,1989
84,Colorado,CO,1394835.4825000025,129199.92416666662,1989
16,Connecticut,CT,1533037.5158333322,284032.0383333335,1989
51,Delaware,DE,321182.4000000004,50678.24916666665,1989
53,District of Columbia,DC,286815.88249999913,42833.999166666654,1989
59,Florida,FL,5124596.834999988,369631.5983333329,1989
58,Georgia,GA,2784456.4508333327,247668.04666666678,1989
95,Hawaii,HI,442093.618333333,132309.53833333336,1989
82,Idaho,ID,377052.82750000036,36738.18666666666,1989
33,Illinois,IL,5015298.357499998,1045189.485,1989
32,Indiana,IN,2475859.7124999994,519658.9666666668,1989
42,Iowa,IA,1198497.7766666664,181827.7891666667,1989
47,Kansas,KS,1038391.9783333337,127128.23750000003,1989
61,Kentucky,KY,1423292.1741666642,210230.58666666667,1989
72,Louisiana,LA,1523233.6074999974,122946.40166666669,1989
11,Maine,ME,506461.7483333328,76786.49250000004,1989
52,Maryland,MD,2230894.38333333,357600.7166666666,1989
14,Massachusetts,MA,2725349.494999988,477662.46416666644,1989
34,Michigan,MI,3896321.220000011,1012804.1008333324,1989
41,Minnesota,MN,1943511.6024999986,386138.4858333337,1989
64,Mississippi,MS,938096.66916667,73557.23250000001,1989
43,Missouri,MO,2188511.1466666684,338485.96916666673,1989
81,Montana,MT,295455.79249999986,52467.0883333334,1989
46,Nebraska,NE,651374.7883333364,77872.53749999999,1989
88,Nevada,NV,515954.1758333338,93785.51499999998,1989
12,New Hampshire,NH,508893.75333333283,58890.479999999996,1989
22,New Jersey,NJ,3443472.9641666804,796567.4466666671,1989
85,New Mexico,NM,547981.608333334,42662.45333333333,1989
21,New York,NY,7322009.477499966,2041608.0233333355,1989
56,North Carolina,NC,2979743.605833325,164154.7950000001,1989
44,North Dakota,ND,248833.49749999994,27804.89833333334,1989
31,Ohio,OH,4641439.236666671,987117.028333334,1989
73,Oklahoma,OK,1221099.5841666684,122958.11583333336,1989
92,Oregon,OR,1150618.5233333318,248028.13916666663,1989
23,Pennsylvania,PA,5085428.674999987,1062547.9049999984,1989
15,Rhode Island,RI,457302.59416666644,85316.51333333334,1989
57,South Carolina,SC,1446473.2916666663,56358.50916666666,1989
45,South Dakota,SD,269088.2275000004,21784.082500000008,1989
62,Tennessee,TN,2019637.995833336,236089.8541666667,1989
74,Texas,TX,6825506.618333324,468255.4441666667,1989
87,Utah,UT,651938.9483333344,70936.11083333334,1989
13,Vermont,VT,244584.9758333337,29083.54750000002,1989
54,Virginia,VA,2719928.6350000054,246988.03583333336,1989
91,Washington,WA,1955418.1749999973,450725.83583333314,1989
55,West Virginia,WV,638359.4458333325,124756.29249999995,1989
35,Wisconsin,WI,2182721.3183333287,455601.18666666665,1989
83,Wyoming,WY,175383.1291666667,22456.638333333332,1989
63,Alabama,AL,1585305.604999999,193882.01,1990
94,Alaska,AK,212648.1583333338,48764.030833333294,1990
86,Arizona,AZ,1486349.895833333,115167.10749999998,1990
71,Arkansas,AR,878741.0941666658,90604.13916666666,1990
93,California,CA,12526161.440833326,2268229.3816666715,1990
84,Colorado,CO,1472702.3466666667,154289.48000000007,1990
16,Connecticut,CT,1572984.3916666673,277178.0824999999,1990
51,Delaware,DE,311080.7691666672,46474.689999999995,1990
53,District of Columbia,DC,285450.39500000025,45706.1733333333,1990
59,Florida,FL,5259831.833333337,421543.3158333332,1990
58,Georgia,GA,2795507.062499999,190224.8716666666,1990
95,Hawaii,HI,460382.6683333339,134694.26083333336,1990
82,Idaho,ID,390056.3616666671,36432.64500000001,1990
